epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.109,1.11435,5.07869,1.19483,0,0,0,0,0.98893,5.12459,1.07389,8.26e-06,8.26e-06,8.26e-06
2,193.535,1.1263,5.03238,1.21203,0,0,0,0,0.98221,5.11575,1.06677,1.41954e-05,1.41954e-05,1.41954e-05
3,272.178,1.18241,5.01481,1.2167,0,0,0,0,0.97919,5.11129,1.06402,1.63926e-05,1.63926e-05,1.63926e-05
4,362.087,1.06233,4.93696,1.18982,0,0,0,0,0.97685,5.10512,1.06358,1.48515e-05,1.48515e-05,1.48515e-05
5,456.186,1.08461,4.93629,1.16588,0,0,0,0,0.97747,5.10021,1.06489,9.57216e-06,9.57216e-06,9.57216e-06
